City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,brandywine,38.6968,-76.8477,298.02,95,0,3.6,US,1690630487
260,pindiga,9.9833,10.9333,300.76,49,79,4.57,NG,1690630487
261,mount gambier,-37.8333,140.7667,283.21,93,3,4.32,AU,1690630280
262,guerrero negro,27.9769,-114.0611,293.52,79,84,2.5,MX,1690630487
263,lompoc,34.6391,-120.4579,287.0,94,40,0.0,US,1690630245
264,meulaboh,4.1363,96.1285,300.5,78,32,2.05,ID,1690630487
265,challapata,-18.9,-66.7667,276.81,62,3,1.39,BO,1690630487
266,rio grande,-32.035,-52.0986,279.21,75,10,0.74,BR,1690630192
267,gamba,-2.65,10.0,298.1,68,94,4.95,GA,1690630488
268,mejit,10.2753,170.8646,301.43,82,100,9.63,MH,1690630488
269,iguape,-24.7081,-47.5553,289.75,82,100,4.74,BR,1690630488
270,hinton,53.4001,-117.5857,279.78,95,0,1.07,CA,1690630213
271,sitka,57.0531,-135.33,289.09,82,100,4.12,US,1690630488
272,richards bay,-28.783,32.0377,301.01,38,100,7.36,ZA,1690630488
273,guozhen,34.3659,107.359,301.05,87,52,0.67,CN,1690630488
274,prince rupert,54.3161,-130.3201,286.98,100,20,3.09,CA,1690630247
275,angaur state,6.906,134.13,301.45,80,100,6.08,PW,1690630488
276,darwin,-12.4611,130.8418,299.14,73,0,2.06,AU,1690630402
277,apam,5.2848,-0.7371,298.83,82,100,4.79,GH,1690630489
278,meizhou,24.2977,116.1072,299.01,98,99,1.4,CN,1690630489
279,kingston,17.997,-76.7936,301.68,77,20,3.6,JM,1690630425
280,sao felix do xingu,-6.6447,-51.995,300.78,38,67,1.09,BR,1690630489
281,pahrump,36.2083,-115.9839,304.96,17,25,1.34,US,1690630489
282,longyearbyen,78.2186,15.6401,281.06,87,75,4.12,SJ,1690630485
283,mossel bay,-34.1831,22.146,287.11,79,61,14.19,ZA,1690630489
284,wainwright,52.839,-110.8572,284.93,69,52,1.89,CA,1690630489
285,arrifes,37.7667,-25.7,298.28,78,20,3.6,PT,1690630489
286,tapa,59.2606,25.9586,294.93,38,78,5.32,EE,1690630489
287,paracatu,-17.2222,-46.8747,297.12,41,99,0.85,BR,1690630489
288,ust'-ilimsk,58.0006,102.6619,297.71,56,69,2.12,RU,1690630490
289,ancud,-41.8697,-73.8203,284.29,92,100,8.75,CL,1690630490
290,poso,-1.3959,120.7524,298.99,79,15,1.27,ID,1690630490
291,galle,6.0367,80.217,300.46,85,76,6.21,LK,1690630490
